Entity,Code,Year,World Trade (relative to 1913) (Federico and Tena-Junguito (2016))
World,OWID_WRL,1979,1167.518
World,OWID_WRL,1980,1194.795
World,OWID_WRL,1981,1187.985
World,OWID_WRL,1982,1161.493
World,OWID_WRL,1983,1191.692
World,OWID_WRL,1984,1291.794
World,OWID_WRL,1985,1325.38
World,OWID_WRL,1986,1378.396
World,OWID_WRL,1987,1454.207
World,OWID_WRL,1988,1577.815
World,OWID_WRL,1989,1678.795
World,OWID_WRL,1990,1744.268
World,OWID_WRL,1991,1808.806
World,OWID_WRL,1992,1895.629
World,OWID_WRL,1993,1979.036
World,OWID_WRL,1994,2163.087
World,OWID_WRL,1995,2323.155
World,OWID_WRL,1996,2441.636
World,OWID_WRL,1997,2688.241
World,OWID_WRL,1998,2811.9
World,OWID_WRL,1999,2941.248
World,OWID_WRL,2000,3258.903
World,OWID_WRL,2001,3252.12
World,OWID_WRL,2002,3364.484
World,OWID_WRL,2003,3552.919
World,OWID_WRL,2004,3898.92
World,OWID_WRL,2005,4154.229
World,OWID_WRL,2006,4511.168
World,OWID_WRL,2007,4803.425
World,OWID_WRL,2008,4914.792
World,OWID_WRL,2009,4320.877
World,OWID_WRL,2010,4928.651
World,OWID_WRL,2011,4557.16635
World,OWID_WRL,2012,4418.939503
World,OWID_WRL,2013,4444.857037
World,OWID_WRL,2014,4427.578681
