索引,RSR排名,Probit,RSR拟合值,分档等级
513,37.0,6.786155561261077,0.6599735566806249,3
143,106.0,6.225942748902993,0.5836655792992467,3
418,126.0,6.109377725663068,0.5677879682188944,3
332,135.0,6.061884134877072,0.5613187483590285,3
333,123.0,6.1305174297854546,0.570667459777165,3
334,129.0,6.093272269987859,0.5655942041344788,3
514,36.0,6.798662577016726,0.661677168333799,3
128,138.0,6.048747612726431,0.5595293900776255,3
129,125.0,6.118711439650333,0.5690593365634107,3
130,108.0,6.215372047299775,0.5822257178018841,3
131,100.0,6.258507689046771,0.5881013306085705,3
132,89.0,6.334066137964626,0.598393334439626,3
133,84.0,6.371657225572654,0.6035137097678169,3
134,85.0,6.365257371218066,0.60264196972446,3
135,92.0,6.310016688058248,0.5951174991873656,3
136,91.0,6.315957856118375,0.5959267604322893,3
137,90.0,6.321945840856701,0.5967423986931297,3
138,88.0,6.346385644444869,0.6000714049890785,3
139,89.0,6.334066137964626,0.598393334439626,3
140,89.0,6.334066137964626,0.598393334439626,3
141,93.0,6.304121403799863,0.5943144878889413,3
419,77.0,6.418118550622488,0.6098423221501152,3
420,49.0,6.654144786538213,0.6419920414609914,3
421,39.0,6.761948032840843,0.6566761891617088,3
99,87.0,6.352622764219689,0.6009209785514869,3
434,56.0,6.588770958572784,0.6330873101237664,3
433,51.0,6.6347469679133155,0.6393498164489535,3
432,43.0,6.7164151476324765,0.6504740418742097,3
431,38.0,6.773921861517037,0.6583071740796465,3
430,33.0,6.8379751573914636,0.6670320324637566,3
96,144.0,6.018778135032987,0.5554471731494961,3
97,109.0,6.207532264677331,0.5811578415558727,3
98,80.0,6.397836528971105,0.6070796576496236,3
100,112.0,6.189522215745364,0.5787046480975633,3
422,32.0,6.851733757081328,0.6689061254705095,3
429,31.0,6.865852090713503,0.6708292187302511,3
428,30.0,6.880352445403824,0.6728043480263368,3
427,25.0,6.968165059794401,0.6847655221460618,3
426,22.0,7.03310375181142,0.6936109825359316,3
907,143.0,6.025122680009755,0.5563113793652457,3
212,66.0,6.497996598805337,0.6207227093164649,3
424,24.0,6.994970970827795,0.6884168218087978,3
423,25.0,6.968165059794401,0.6847655221460618,3
142,98.0,6.275302474602153,0.5903889900265884,3
144,119.0,6.149741757043593,0.5732860530996049,3
436,134.0,6.066303901815331,0.5619207757816718,3
335,141.0,6.035789621854487,0.5577643499847325,3
213,86.0,6.3589129518125596,0.6017777806130837,3
827,116.0,6.164443705970982,0.5752886420469929,3
826,110.0,6.19976600526848,0.5800999800892384,3
825,107.0,6.22064034884735,0.5829433262293644,3
824,101.0,6.252987625400193,0.5873494290408185,3
823,94.0,6.298271098271453,0.5935176032549447,3
822,83.0,6.3781137589543455,0.6043931702021086,3
821,74.0,6.439001315093951,0.6126868153209186,3
820,71.0,6.460531182013231,0.6156194519219722,3
201,146.0,6.010381991642106,0.5543035136225651,3
202,117.0,6.159515195527643,0.5746173174090377,3
203,99.0,6.266860414784933,0.5892390761092805,3
204,82.0,6.384628258287824,0.60528052632254,3
205,70.0,6.467860416999405,0.6166177852074848,3
206,61.0,6.537691249872052,0.6261296162435139,3
207,58.0,6.57128649757691,0.6307057083025178,3
208,54.0,6.606755068969243,0.635536970429786,3
209,52.0,6.625274397929711,0.638059534184594,3
210,53.0,6.615945457847845,0.6367888161055792,3
214,103.0,6.242060572463501,0.5858610280440109,3
819,63.0,6.521525057392546,0.6239275790482621,3
818,62.0,6.529558186142137,0.6250217914500549,3
177,131.0,6.079689928557748,0.5637441197026851,3
775,147.0,6.006210516645341,0.5537353066614279,3
776,136.0,6.057485014382847,0.560719533239763,3
777,127.0,6.102440367015165,0.566843013381888,3
778,126.0,6.109377725663068,0.5677879682188944,3
779,128.0,6.097844783708499,0.5662170375754028,3
780,130.0,6.086456045535023,0.5646657492867861,3
781,137.0,6.053106263987631,0.5601230927822334,3
782,148.0,6.002056477837372,0.5531694747268359,3
178,124.0,6.125776200730016,0.5700216452018083,3
817,65.0,6.505747005712342,0.6217784114744835,3
179,121.0,6.1400769252954,0.5719695823831792,3
180,130.0,6.086456045535023,0.5646657492867861,3
811,139.0,6.044408794872596,0.558938388930653,3
812,113.0,6.181920524551234,0.5776692028758443,3
813,95.0,6.292464893096989,0.5927267256395978,3
814,78.0,6.4112932697345215,0.6089126337029194,3
815,72.0,6.453279574180799,0.6146316924237083,3
816,69.0,6.47526936144686,0.6176269759165236,3
435,68.0,6.482760183958417,0.6186473194398605,3
425,23.0,7.013671405766345,0.6909640544583087,3
543,2.0,8.08993515299775,0.8375646102978567,3
547,28.0,6.910599598159177,0.6769243877637201,3
534,14.0,7.225823202442786,0.7198617771541915,3
535,12.0,7.289987832126427,0.7286018005927384,3
536,10.0,7.365247646681521,0.7388531266961584,3
537,9.0,7.408550370417579,0.7447514981552015,3
538,7.0,7.511791249730781,0.7588141945264331,3
539,6.0,7.5754833240086015,0.7674898500204712,3
540,4.0,7.74745330729772,0.7909143082006853,3
541,3.0,7.877846118927186,0.8086754366522704,3
542,1.0,8.480488397965473,0.8907628369820608,3
920,59.0,6.558481630864383,0.6289615256313681,3
544,5.0,7.651731984747386,0.7778758693164678,3
475,132.0,6.075206508188439,0.5631334218882378,3
474,113.0,6.181920524551234,0.5776692028758443,3
473,76.0,6.425010540789547,0.6107810972337606,3
472,26.0,6.942703012479365,0.6812972734953018,3
471,19.0,7.096520582427628,0.7022491464077838,3
470,34.0,6.824555935803748,0.6652041669904898,3
469,35.0,6.811457448880408,0.6634199895817847,3
468,47.0,6.6741857759106455,0.6447218743566279,3
