uid,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,code,VAR_NAME,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,prep,supply,resource,NEIGHBORS,SUM,filled_data_provinceID,filled_data_provinceName,filled_data_cityName,filled_data_precipitation,filled_data_waterSupply,filled_data_totalWaterResources,filled_data_hostPop,filled_data_stayPop,filled_data_ConsummerSupply
"222",泉州市,"350500",泉州市,"350500",地级市,福建省,"350000",省,,,Quanzhou,"350500",Quán Zhōu,Quanzhou,Quán Zhōu,"350500",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",12970.652,"14872","785100","350300,350100,350200,350800,350400,350600","94487",,,,,,,"657","191","1626"
"223",日喀则市,"540200",日喀则市,"540200",地级市,西藏自治区,"540000",自治区,日喀则地区,2013年撤销日喀则地区，设立日喀则市,Rikaze,"540200",Rì Kā Zé,Rikaze,Rì Kā Zé,"540200",Prefecture City,Xizang,Xī Zàng,"540000",Autonomous Region,"2018",5603.916,"-1","-1","542500,540100,540500,540600","7400",,,,,,,"462","127","1579"
"224",日照市,"371100",日照市,"371100",地级市,山东省,"370000",省,,,Rizhao,"371100",Rì Zhào,Rizhao,Rì Zhào,"371100",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",8783.47,"6759","197400","371300,320700,370700,370200","80879",,,,,,,"789","-1","3292"
"225",三门峡市,"411200",三门峡市,"411200",地级市,河南省,"410000",省,,,Sanmenxia,"411200",Sān Mén Xiá,Sanmenxia,Sān Mén Xiá,"411200",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",6577.809,"2075","110837","410300,411300,610500,140800,611000","24014",,,,,,,"397","110","3815"
"226",三明市,"350400",三明市,"350400",地级市,福建省,"350000",省,,,Sanming,"350400",Sān Míng,Sanming,Sān Míng,"350400",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",14897.858,"3312","1445000","350100,350500,350800,350700,361000,360700","73821",,,,,,,"1071","229","3523"
"227",三亚市,"460200",三亚市,"460200",地级市,海南省,"460000",省,,,Sanya,"460200",Sān Yà,Sanya,Sān Yà,"460200",Prefecture City,Hainan,Hǎi Nán,"460000",Province,"2018",15693.525,"11267","162200","469028,469027,469029","-3",,,,,,,"705","211","4488"
"228",厦门市,"350200",厦门市,"350200",地级市,福建省,"350000",省,,,Xiamen,"350200",Xià Mén,Xiamen,Xià Mén,"350200",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",13625.567,"42248","94220","350500,350600","20725",,,,,,,"149","46","2214"
"229",山南市,"540500",山南市,"540500",地级市,西藏自治区,"540000",自治区,山南地区,2016年撤销山南地区，设立山南市,Shannan,"540500",Shān Nán,Shannan,Shān Nán,"540500",Prefecture City,Xizang,Xī Zàng,"540000",Autonomous Region,"2018",6193.619,"-1","-1","540100,540400,540200","7401",,,,,,,"368","136","3041"
"230",汕头市,"440500",汕头市,"440500",地级市,广东省,"440000",省,,,Shantou,"440500",Shàn Tóu,Shantou,Shàn Tóu,"440500",Prefecture City,Guangdong,Guǎng Dōng,"440000",Province,"2018",14550.952,"23697","-1","445200,445100","6929",,,,,,,"403","130","9414"
"231",汕尾市,"441500",汕尾市,"441500",地级市,广东省,"440000",省,,,Shanwei,"441500",Shàn Wěi,Shanwei,Shàn Wěi,"441500",Prefecture City,Guangdong,Guǎng Dōng,"440000",Province,"2018",16918.306,"3527","608000","441600,441400,445200,441300","43535",,,,,,,"535","79","3879"
"232",商洛市,"611000",商洛市,"611000",地级市,陕西省,"610000",省,,,Shangluo,"611000",Shāng Luò,Shangluo,Shāng Luò,"611000",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",7179.763,"1030","292600","411200,411300,610500,610100,610900,420300","109366",,,,,,,"664","130","3427"
"233",商丘市,"411400",商丘市,"411400",地级市,河南省,"410000",省,,,Shangqiu,"411400",Shāng Qiū,Shangqiu,Shāng Qiū,"411400",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",8921.842,"7100","178733","340600,341600,341300,371700,410200,411600","23050",,,,,,,"-1","-1","-1"
"234",上海市,"310000",不统计,"0",不统计,上海市,"310000",直辖市,,,Shanghai,"310000",Shàng Hǎi,NULL,NULL,"0",NULL,Shanghai,Shàng Hǎi,"310000",Municipality,"2018",13558.568,"243514","387000","320600,320500,330400","88437",,,,,,,"114","73","1478"
"235",上饶市,"361100",上饶市,"361100",地级市,江西省,"360000",省,,,Shangrao,"361100",Shàng Ráo,Shangrao,Shàng Ráo,"361100",Prefecture City,Jiangxi,Jiāng Xī,"360000",Province,"2018",15970.907,"6420","2115000","341000,341700,360400,360600,360100,330800,360200,350700,361000","70631",,,,,,,"-1","-1","-1"
"236",韶关市,"440200",韶关市,"440200",地级市,广东省,"440000",省,,,Shaoguan,"440200",Sháo Guān,Shaoguan,Sháo Guān,"440200",Prefecture City,Guangdong,Guǎng Dōng,"440000",Province,"2018",15082.482,"7861","1756000","441600,441800,360700,431000,440100,441300","265849",,,,,,,"251","59","2451"
"237",邵阳市,"430500",邵阳市,"430500",地级市,湖南省,"430000",省,,,Shaoyang,"430500",Shào Yáng,Shaoyang,Shào Yáng,"430500",Prefecture City,Hunan,Hú Nán,"430000",Province,"2018",12780.199,"6101","1158000","431300,431200,450300,431100,430400","41473",,,,,,,"273","135","3952"
"238",绍兴市,"330600",绍兴市,"330600",地级市,浙江省,"330000",省,,,Shaoxing,"330600",Shào Xīng,Shaoxing,Shào Xīng,"330600",Prefecture City,Zhejiang,Zhè Jiāng,"330000",Province,"2018",14040.414,"35004","598192","330100,330400,330200,331000,330700","162342",,,,,,,"503","164","5021"
"239",深圳市,"440300",深圳市,"440300",地级市,广东省,"440000",省,,,Shenzhen,"440300",Shēn Zhèn,Shenzhen,Shēn Zhèn,"440300",Prefecture City,Guangdong,Guǎng Dōng,"440000",Province,"2018",17020.816,"160429","226396",,,,,,,,,"-1","-1","-1"
"240",神农架林区,"429021",不统计,"0",不统计,湖北省,"420000",省,,,Shennongjialin,"429021",Shén Nóng Jià Lín,NULL,NULL,"0",NULL,Hubei,Hú Běi,"420000",Province,"2018",9030.906,"-1","-1",,,,,,,,,"-1","-1","-1"
"241",沈阳市,"210100",沈阳市,"210100",地级市,辽宁省,"210000",省,,,Shenyang,"210100",Shěn Yáng,Shenyang,Shěn Yáng,"210100",Prefecture City,Liaoning,Liáo Níng,"210000",Province,"2018",5183.731,"53522","132000",,,,,,,,,"256","37","1427"
"242",十堰市,"420300",十堰市,"420300",地级市,湖北省,"420000",省,,,Shiyan,"420300",Shí Yàn,Shiyan,Shí Yàn,"420300",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",8404.36,"10395","629652",,,,,,,,,"171","65","1957"
"243",石河子市,"659001",不统计,"0",不统计,新疆维吾尔自治区,"650000",自治区,,,Shihezi,"659001",Shí Hé Zi,Shihezi,Shí Hé Zi,"0",NULL,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2763.053,"-1","-1",,,,,,,,,"-1","-1","-1"
"244",石家庄市,"130100",石家庄市,"130100",地级市,河北省,"130000",省,,,Shijiazhuang,"130100",Shí Jiā Zhuāng,Shijiazhuang,Shí Jiā Zhuāng,"130100",Prefecture City,Hebei,Hé Běi,"130000",Province,"2018",6163.854,"19111","160795",,,,,,,,,"-1","-1","-1"
"245",石嘴山市,"640200",石嘴山市,"640200",地级市,宁夏回族自治区,"640000",自治区,,,Shizuishan,"640200",Shí Zuǐ Shān,Shizuishan,Shí Zuǐ Shān,"640200",Prefecture City,Ningxia,Níng Xià Huí Zú,"640000",Autonomous Region,"2018",3480.205,"4212","17290",,,,,,,,,"80","72","1024"
"246",双河市,"659007",不统计,"0",不统计,新疆维吾尔自治区,"650000",自治区,,,Shuanghe,"659007",Shuāng Hé,Shuanghe,Shuāng Hé,"0",NULL,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",1515.348,"-1","-1",,,,,,,,,"-1","-1","-1"
"247",双鸭山市,"230500",双鸭山市,"230500",地级市,黑龙江省,"230000",省,,,Shuangyashan,"230500",Shuāng Yā Shān,Shuangyashan,Shuāng Yā Shān,"230500",Prefecture City,Heilongjiang,Hēi Lóng Jiāng,"230000",Province,"2018",6753.615,"2075","257700",,,,,,,,,"190","49","639"
"248",朔州市,"140600",朔州市,"140600",地级市,山西省,"140000",省,,,Shuozhou,"140600",Shuò Zhōu,Shuozhou,Shuò Zhōu,"140600",Prefecture City,Shanxi,Shān Xī,"140000",Province,"2018",5844.646,"1530","-1",,,,,,,,,"339","75","3663"
"249",四平市,"220300",四平市,"220300",地级市,吉林省,"220000",省,,,Siping,"220300",Sì Píng,Siping,Sì Píng,"220300",Prefecture City,Jilin,Jí Lín,"220000",Province,"2018",6330.738,"1891","162100",,,,,,,,,"336","61","1111"
"250",松原市,"220700",松原市,"220700",地级市,吉林省,"220000",省,,,Songyuan,"220700",Sōng Yuán,Songyuan,Sōng Yuán,"220700",Prefecture City,Jilin,Jí Lín,"220000",Province,"2018",5851.637,"3087","112800",,,,,,,,,"414","180","4979"
"251",苏州市,"320500",苏州市,"320500",地级市,江苏省,"320000",省,,,Suzhou,"320500",Sū Zhōu,Suzhou,Sū Zhōu,"320500",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",12880.537,"59731","385300",,,,,,,,,"524","83","-1"
"252",宿迁市,"321300",宿迁市,"321300",地级市,江苏省,"320000",省,,,Suqian,"321300",Sù Qiān,Suqian,Sù Qiān,"321300",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",10664.691,"6373","273200",,,,,,,,,"763","215","8929"
"253",宿州市,"341300",宿州市,"341300",地级市,安徽省,"340000",省,,,Suzhou,"341300",Sù Zhōu,Suzhou,Sù Zhōu,"341300",Prefecture City,Anhui,ān Huī,"340000",Province,"2018",10304.634,"2548","488055",,,,,,,,,"384","115","4793"
"254",绥化市,"231200",绥化市,"231200",地级市,黑龙江省,"230000",省,,,Suihua,"231200",Suí Huà,Suihua,Suí Huà,"231200",Prefecture City,Heilongjiang,Hēi Lóng Jiāng,"230000",Province,"2018",6906.479,"-1","-1",,,,,,,,,"273","137","3930"
"255",随州市,"421300",随州市,"421300",地级市,湖北省,"420000",省,,,Suizhou,"421300",Suí Zhōu,Suizhou,Suí Zhōu,"421300",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",9600.757,"3864","152235",,,,,,,,,"912","156","2832"
"256",遂宁市,"510900",遂宁市,"510900",地级市,四川省,"510000",省,,,Suining,"510900",Suì Níng,Suining,Suì Níng,"510900",Prefecture City,Sichuan,Sì Chuān,"510000",Province,"2018",9278.359,"4310","126820",,,,,,,,,"733","113","3843"
"257",塔城地区,"654200",塔城地区,"654200",地区,新疆维吾尔自治区,"650000",自治区,,,Tacheng,"654200",Tǎ Chéng,Tacheng,Tǎ Chéng,"654200",Prefecture,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2505.251,"-1","-1",,,,,,,,,"-1","-1","-1"
"258",台州市,"331000",台州市,"331000",地级市,浙江省,"330000",省,,,Taizhou,"331000",Tāi Zhōu,Taizhou,Tāi Zhōu,"331000",Prefecture City,Zhejiang,Zhè Jiāng,"330000",Province,"2018",14113.052,"15967","779732",,,,,,,,,"603","293","22504"
"259",太原市,"140100",太原市,"140100",地级市,山西省,"140000",省,,,Taiyuan,"140100",Tài Yuán,Taiyuan,Tài Yuán,"140100",Prefecture City,Shanxi,Shān Xī,"140000",Province,"2018",5134.279,"-1","-1",,,,,,,,,"456","98","1785"
"260",泰安市,"370900",泰安市,"370900",地级市,山东省,"370000",省,,,Taian,"370900",Tài ān,Taian,Tài ān,"370900",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",7903.53,"6663","174799",,,,,,,,,"605","116","3120"
"261",泰州市,"321200",泰州市,"321200",地级市,江苏省,"320000",省,,,Taizhou,"321200",Tài Zhōu,Taizhou,Tài Zhōu,"321200",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",11858.468,"9210","204840",,,,,,,,,"704","360","23815"
"262",唐山市,"130200",唐山市,"130200",地级市,河北省,"130000",省,,,Tangshan,"130200",Táng Shān,Tangshan,Táng Shān,"130200",Prefecture City,Hebei,Hé Běi,"130000",Province,"2018",6720.107,"13020","215500",,,,,,,,,"982","419","10420"
"263",天津市,"120000",不统计,"0",不统计,天津市,"120000",直辖市,,,Tianjin,"120000",Tiān Jīn,NULL,NULL,"0",NULL,Tianjin,Tiān Jīn,"120000",Municipality,"2018",6529.534,"73468","175800",,,,,,,,,"1082","1066","29586"
"264",天门市,"429006",不统计,"0",不统计,湖北省,"420000",省,,,Tianmen,"429006",Tiān Mén,Tianmen,Tiān Mén,"0",NULL,Hubei,Hú Běi,"420000",Province,"2018",11170.162,"-1","-1",,,,,,,,,"-1","-1","-1"
"265",天水市,"620500",天水市,"620500",地级市,甘肃省,"620000",省,,,Tianshui,"620500",Tiān Shuǐ,Tianshui,Tiān Shuǐ,"620500",Prefecture City,Gansu,Gān Sù,"620000",Province,"2018",7293.12,"3050","172328",,,,,,,,,"254","24","900"
"266",铁岭市,"211200",铁岭市,"211200",地级市,辽宁省,"210000",省,,,Tieling,"211200",Tiě Lǐng,Tieling,Tiě Lǐng,"211200",Prefecture City,Liaoning,Liáo Níng,"210000",Province,"2018",6397.346,"2555","129600",,,,,,,,,"231","93","-1"
"267",通化市,"220500",通化市,"220500",地级市,吉林省,"220000",省,,,Tonghua,"220500",Tōng Huà,Tonghua,Tōng Huà,"220500",Prefecture City,Jilin,Jí Lín,"220000",Province,"2018",8097.439,"2031","524200",,,,,,,,,"-1","-1","-1"
"268",通辽市,"150500",通辽市,"150500",地级市,内蒙古自治区,"150000",自治区,,,Tongliao,"150500",Tōng Liáo,Tongliao,Tōng Liáo,"150500",Prefecture City,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",5302.389,"-1","354854",,,,,,,,,"224","156","4091"
"269",铜川市,"610200",铜川市,"610200",地级市,陕西省,"610000",省,,,Tongchuan,"610200",Tóng Chuān,Tongchuan,Tóng Chuān,"610200",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",5590.438,"1647","24600",,,,,,,,,"418","255","18423"
"270",铜陵市,"340700",铜陵市,"340700",地级市,安徽省,"340000",省,,,Tongling,"340700",Tóng Líng,Tongling,Tóng Líng,"340700",Prefecture City,Anhui,ān Huī,"340000",Province,"2018",11822.449,"6559","144100",,,,,,,,,"605","162","8563"
"271",铜仁市,"520600",铜仁市,"520600",地级市,贵州省,"520000",省,,,Tongren,"520600",Tóng Rén,Tongren,Tóng Rén,"520600",Prefecture City,Guizhou,Guì Zhōu,"520000",Province,"2018",11582.104,"2968","1145300",,,,,,,,,"510","152","5721"
"272",图木舒克市,"659003",不统计,"0",不统计,新疆维吾尔自治区,"650000",自治区,,,Tumushuke,"659003",Tú Mù Shū Kè,Tumushuke,Tú Mù Shū Kè,"0",NULL,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2980.613,"-1","-1",,,,,,,,,"-1","-1","-1"
"273",吐鲁番市,"650400",吐鲁番市,"650400",地级市,新疆维吾尔自治区,"650000",自治区,吐鲁番地区,2015年撤销吐鲁番地区，设立吐鲁番市,Tulufan,"650400",Tǔ Lǔ Fān,Tulufan,Tǔ Lǔ Fān,"650400",Prefecture City,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2338.976,"955","-1",,,,,,,,,"384","98","-1"
"274",屯昌县,"469022",不统计,"0",不统计,海南省,"460000",省,,,Tunchang,"469022",Tún Chāng,NULL,NULL,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",19647.857,"-1","-1",,,,,,,,,"-1","-1","-1"
"275",万宁市,"469006",不统计,"0",不统计,海南省,"460000",省,,,Wanning,"469006",Wàn Níng,Wanning,Wàn Níng,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",17862.579,"-1","-1",,,,,,,,,"-1","-1","-1"
"276",威海市,"371000",威海市,"371000",地级市,山东省,"370000",省,,,Weihai,"371000",Wēi Hǎi,Weihai,Wēi Hǎi,"371000",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",7527.497,"7543","103000",,,,,,,,,"432","170","3350"
"277",潍坊市,"370700",潍坊市,"370700",地级市,山东省,"370000",省,,,Weifang,"370700",Wéi Fāng,Weifang,Wéi Fāng,"370700",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",8282.644,"12715","498455",,,,,,,,,"981","227","7530"
"278",渭南市,"610500",渭南市,"610500",地级市,陕西省,"610000",省,,,Weinan,"610500",Wèi Nán,Weinan,Wèi Nán,"610500",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",5741.427,"2178","81700",,,,,,,,,"304","130","1829"
"279",温州市,"330300",温州市,"330300",地级市,浙江省,"330000",省,,,Wenzhou,"330300",Wēn Zhōu,Wenzhou,Wēn Zhōu,"330300",Prefecture City,Zhejiang,Zhè Jiāng,"330000",Province,"2018",15212.356,"24865","1284668",,,,,,,,,"825","244","5839"
"280",文昌市,"469005",不统计,"0",不统计,海南省,"460000",省,,,Wenchang,"469005",Wén Chāng,Wenchang,Wén Chāng,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",17209.941,"-1","-1",,,,,,,,,"-1","-1","-1"
"281",文山壮族苗族自治州,"532600",文山壮族苗族自治州,"532600",自治州,云南省,"530000",省,,,Wenshanzhuangzumiaozu,"532600",Wén Shān Zhuàng Zú Miáo Zú,Wenshanzhuangzumiaozu,Wén Shān Zhuàng Zú Miáo Zú,"532600",Autonomous Prefecture,Yunnan,Yún Nán,"530000",Province,"2018",12018.81,"-1","-1",,,,,,,,,"-1","-1","-1"
"282",乌海市,"150300",乌海市,"150300",地级市,内蒙古自治区,"150000",自治区,,,Wuhai,"150300",Wū Hǎi,Wuhai,Wū Hǎi,"150300",Prefecture City,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",3940.609,"6123","-1",,,,,,,,,"-1","-1","-1"
"283",乌兰察布市,"150900",乌兰察布市,"150900",地级市,内蒙古自治区,"150000",自治区,,,Wulanchabu,"150900",Wū Lán Chá Bù,Wulanchabu,Wū Lán Chá Bù,"150900",Prefecture City,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",6019.465,"1646","92488",,,,,,,,,"162","30","1338"
"284",乌鲁木齐市,"650100",乌鲁木齐市,"650100",地级市,新疆维吾尔自治区,"650000",自治区,,,Wulumuqi,"650100",Wū Lǔ Mù Qí,Wulumuqi,Wū Lǔ Mù Qí,"650100",Prefecture City,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2870.173,"27462","108816",,,,,,,,,"234","67","1225"
"285",无锡市,"320200",无锡市,"320200",地级市,江苏省,"320000",省,,,Wuxi,"320200",Wú Xī,Wuxi,Wú Xī,"320200",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",12699.085,"34495","277948",,,,,,,,,"78","48","930"
"286",芜湖市,"340200",芜湖市,"340200",地级市,安徽省,"340000",省,,,Wuhu,"340200",Wú Hú,Wuhu,Wú Hú,"340200",Prefecture City,Anhui,ān Huī,"340000",Province,"2018",12520.908,"15190","343000",,,,,,,,,"267","112","5048"
"287",吴忠市,"640300",吴忠市,"640300",地级市,宁夏回族自治区,"640000",自治区,,,Wuzhong,"640300",Wú Zhōng,Wuzhong,Wú Zhōng,"640300",Prefecture City,Ningxia,Níng Xià Huí Zú,"640000",Autonomous Region,"2018",4008.413,"2408","15740",,,,,,,,,"378","146","3235"
"288",梧州市,"450400",梧州市,"450400",地级市,广西壮族自治区,"450000",自治区,,,Wuzhou,"450400",Wú Zhōu,Wuzhou,Wú Zhōu,"450400",Prefecture City,Guangxi,Guǎng Xī,"450000",Autonomous Region,"2018",14450.315,"6376","1244000",,,,,,,,,"848","167","7246"
"289",五家渠市,"659004",不统计,"0",不统计,新疆维吾尔自治区,"650000",自治区,,,Wujiaqu,"659004",Wǔ Jiā Qú,Wujiaqu,Wǔ Jiā Qú,"0",NULL,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2789.014,"-1","-1",,,,,,,,,"-1","-1","-1"
"290",五指山市,"469001",不统计,"0",不统计,海南省,"460000",省,,,Wuzhishan,"469001",Wǔ Zhǐ Shān,Wuzhishan,Wǔ Zhǐ Shān,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",17637.445,"-1","-1",,,,,,,,,"-1","-1","-1"
"291",武汉市,"420100",武汉市,"420100",地级市,湖北省,"420000",省,,,Wuhan,"420100",Wǔ Hàn,Wuhan,Wǔ Hàn,"420100",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",11930.341,"115958","351600",,,,,,,,,"570","111","4030"
"292",武威市,"620600",武威市,"620600",地级市,甘肃省,"620000",省,,,Wuwei,"620600",Wǔ Wēi,Wuwei,Wǔ Wēi,"620600",Prefecture City,Gansu,Gān Sù,"620000",Province,"2018",4915.993,"2598","149340",,,,,,,,,"241","33","-1"
"293",西安市,"610100",西安市,"610100",地级市,陕西省,"610000",省,,,Xian,"610100",Xī ān,Xian,Xī ān,"610100",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",5660.43,"87516","219000",,,,,,,,,"-1","-1","-1"
"294",西宁市,"630100",西宁市,"630100",地级市,青海省,"630000",省,,,Xining,"630100",Xī Níng,Xining,Xī Níng,"630100",Prefecture City,Qinghai,Qīng Hǎi,"630000",Province,"2018",5578.806,"8950","-1",,,,,,,,,"54","-1","-1"
"295",西双版纳傣族自治州,"532800",西双版纳傣族自治州,"532800",自治州,云南省,"530000",省,,,Xishuangbannadaizu,"532800",Xī Shuāng Bǎn Nà Dǎi Zú,Xishuangbannadaizu,Xī Shuāng Bǎn Nà Dǎi Zú,"532800",Autonomous Prefecture,Yunnan,Yún Nán,"530000",Province,"2018",15134.177,"-1","-1",,,,,,,,,"-1","-1","-1"
"296",锡林郭勒盟,"152500",锡林郭勒盟,"152500",盟,内蒙古自治区,"150000",自治区,,,Xilinguole,"152500",Xī Lín Guō Lè,Xilinguole,Xī Lín Guō Lè,"152500",League,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",5577.387,"-1","-1",,,,,,,,,"-1","-1","-1"
"297",仙桃市,"429004",不统计,"0",不统计,湖北省,"420000",省,,,Xiantao,"429004",Xiān Táo,Xiantao,Xiān Táo,"0",NULL,Hubei,Hú Běi,"420000",Province,"2018",12210.783,"-1","-1",,,,,,,,,"-1","-1","-1"
"298",咸宁市,"421200",咸宁市,"421200",地级市,湖北省,"420000",省,,,Xianning,"421200",Xián Níng,Xianning,Xián Níng,"421200",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",14162.701,"3507","901200",,,,,,,,,"999","187","4500"
"299",咸阳市,"610400",咸阳市,"610400",地级市,陕西省,"610000",省,,,Xianyang,"610400",Xián Yáng,Xianyang,Xián Yáng,"610400",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",5905.634,"6469","59100",,,,,,,,,"-1","-1","-1"
"301",湘潭市,"430300",湘潭市,"430300",地级市,湖南省,"430000",省,,,Xiangtan,"430300",Xiāng Tán,Xiangtan,Xiāng Tán,"430300",Prefecture City,Hunan,Hú Nán,"430000",Province,"2018",12849.849,"7772","201500",,,,,,,,,"-1","-1","-1"
"302",湘西土家族苗族自治州,"433100",湘西土家族苗族自治州,"433100",自治州,湖南省,"430000",省,,,Xiangxitujiazumiaozu,"433100",Xiāng Xī Tǔ Jiā Zú Miáo Zú,Xiangxitujiazumiaozu,Xiāng Xī Tǔ Jiā Zú Miáo Zú,"433100",Autonomous Prefecture,Hunan,Hú Nán,"430000",Province,"2018",13598.595,"-1","-1",,,,,,,,,"-1","-1","-1"
"303",襄阳市,"420600",襄阳市,"420600",地级市,湖北省,"420000",省,,,Xiangyang,"420600",Xiāng Yáng,Xiangyang,Xiāng Yáng,"420600",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",9216.482,"10326","454513",,,,,,,,,"373","75","3076"
"304",孝感市,"420900",孝感市,"420900",地级市,湖北省,"420000",省,,,Xiaogan,"420900",Xiào Gǎn,Xiaogan,Xiào Gǎn,"420900",Prefecture City,Hubei,Hú Běi,"420000",Province,"2018",10430.966,"4087","239746",,,,,,,,,"267","135","1346"
"305",忻州市,"140900",忻州市,"140900",地级市,山西省,"140000",省,,,Xinzhou,"140900",Xīn Zhōu,Xinzhou,Xīn Zhōu,"140900",Prefecture City,Shanxi,Shān Xī,"140000",Province,"2018",5894.141,"1282","220100",,,,,,,,,"334","63","1991"
"306",新乡市,"410700",新乡市,"410700",地级市,河南省,"410000",省,,,Xinxiang,"410700",Xīn Xiāng,Xinxiang,Xīn Xiāng,"410700",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",5592.079,"7058","117943",,,,,,,,,"307","138","2885"
"307",新余市,"360500",新余市,"360500",地级市,江西省,"360000",省,,,Xinyu,"360500",Xīn Yú,Xinyu,Xīn Yú,"360500",Prefecture City,Jiangxi,Jiāng Xī,"360000",Province,"2018",14102.808,"5500","191300",,,,,,,,,"289","28","2122"
"308",信阳市,"411500",信阳市,"411500",地级市,河南省,"410000",省,,,Xinyang,"411500",Xìn Yáng,Xinyang,Xìn Yáng,"411500",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",10868.033,"3869","1142100",,,,,,,,,"864","376","21982"
"309",邢台市,"130500",邢台市,"130500",地级市,河北省,"130000",省,,,Xingtai,"130500",Xíng Tái,Xingtai,Xíng Tái,"130500",Prefecture City,Hebei,Hé Běi,"130000",Province,"2018",5902.199,"5449","124600",,,,,,,,,"1058","372","6576"
"310",兴安盟,"152200",兴安盟,"152200",盟,内蒙古自治区,"150000",自治区,,,Xingan,"152200",Xīng ān,Xingan,Xīng ān,"152200",League,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",5844.161,"-1","-1",,,,,,,,,"-1","-1","-1"
"311",许昌市,"411000",许昌市,"411000",地级市,河南省,"410000",省,,,Xuchang,"411000",Xǔ Chāng,Xuchang,Xǔ Chāng,"411000",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",8056.411,"3772","55371",,,,,,,,,"598","125","2602"
"312",宣城市,"341800",宣城市,"341800",地级市,安徽省,"340000",省,,,Xuancheng,"341800",Xuān Chéng,Xuancheng,Xuān Chéng,"341800",Prefecture City,Anhui,ān Huī,"340000",Province,"2018",14297.193,"3398","977700",,,,,,,,,"171","74","3855"
"313",雅安市,"511800",雅安市,"511800",地级市,四川省,"510000",省,,,Yaan,"511800",Yǎ ān,Yaan,Yǎ ān,"511800",Prefecture City,Sichuan,Sì Chuān,"510000",Province,"2018",11670.513,"1981","1983600",,,,,,,,,"61","60","4332"
"314",烟台市,"370600",烟台市,"370600",地级市,山东省,"370000",省,,,Yantai,"370600",Yān Tái,Yantai,Yān Tái,"370600",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",6114.063,"16663","219657",,,,,,,,,"129","24","1115"
"315",延安市,"610600",延安市,"610600",地级市,陕西省,"610000",省,,,Yanan,"610600",Yán ān,Yanan,Yán ān,"610600",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",6169.457,"2360","115000",,,,,,,,,"930","166","-1"
"316",延边朝鲜族自治州,"222400",延边朝鲜族自治州,"222400",自治州,吉林省,"220000",省,,,Yanbianchaoxianzu,"222400",Yán Biān Cháo Xiǎn Zú,Yanbianchaoxianzu,Yán Biān Cháo Xiǎn Zú,"222400",Autonomous Prefecture,Jilin,Jí Lín,"220000",Province,"2018",7503.255,"-1","-1",,,,,,,,,"-1","-1","-1"
